id,tweetid,created_at,user_id,text,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation
0,1.23e+18,2020-02-11 03:00:57+00:00,1.11484e+18,The voice of the people,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
1,1.33e+18,2020-11-10 23:40:28+00:00,98427620.0,@RepMyCityX @DJRTistic This just sounds fire lol,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,1.25e+18,2020-04-25 07:23:21+00:00,7.50562e+17,@gorillagripmary @pizzaboysam Why is THAT SI FUNNY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0
3,1.33e+18,2020-11-24 03:54:07+00:00,43802582.0,"I want something exciting in my life, career wise, but this pandemic is not letting me 😞",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
4,1.23e+18,2020-02-22 07:34:31+00:00,353375667.0,@fcknlilypad Omg wth what a deuce,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5,1.33e+18,2020-11-23 01:27:58+00:00,25426447.0,"Just posted a video @ Los Angeles, California https://t.co/415SOjdVfE",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
6,1.32e+18,2020-10-26 00:06:07+00:00,572916516.0,@realDonaldTrump @60Minutes No we’re not. Where did you get that?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
7,1.31e+18,2020-09-23 16:08:32+00:00,235403000.0,Do trump supporters have no actual other personality other than.... trump ffs,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
8,1.34e+18,2020-12-13 06:24:24+00:00,1.06397e+18,@kicked_got Jimmy Page - Dazed and Confused,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
9,1.28e+18,2020-07-19 07:15:12+00:00,1.17041e+18,I find a fine guy on twitter and then BOOM... FROM TEXAS 😐,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
